Date,Open,High,Low,Close,Volume,Adj Close
2014-11-21,3564.14,3610.83,3564.14,3599.11,000,3599.11
2014-11-20,3571.88,3571.98,3545.53,3564.14,000,3564.14
2014-11-19,3581.01,3585.84,3563.13,3571.88,000,3571.88
2014-11-18,3562.94,3583.35,3562.94,3581.01,000,3581.01
2014-11-17,3555.52,3567.24,3535.39,3562.94,000,3562.94
2014-11-14,3546.75,3555.51,3534.41,3555.51,000,3555.51
2014-11-13,3535.34,3552.11,3528.82,3546.75,000,3546.75
2014-11-12,3543.53,3544.10,3523.88,3535.34,000,3535.34
2014-11-11,3535.46,3546.77,3533.06,3543.53,000,3543.53
2014-11-10,3510.98,3535.46,3510.98,3535.46,000,3535.46
2014-11-07,3505.73,3533.00,3503.00,3510.98,000,3510.98
2014-11-06,3500.84,3519.00,3484.18,3505.73,000,3505.73
2014-11-05,3458.54,3500.83,3458.54,3500.83,000,3500.83
2014-11-04,3476.13,3487.73,3454.27,3458.54,000,3458.54
2014-11-03,3503.46,3510.77,3471.64,3476.13,000,3476.13
2014-10-31,3458.91,3506.15,3458.91,3503.46,000,3503.46
2014-10-30,3452.52,3466.45,3417.86,3458.91,000,3458.91
2014-10-29,3425.41,3462.99,3425.41,3452.52,000,3452.52
2014-10-28,3405.27,3430.22,3405.26,3425.41,000,3425.41
2014-10-27,3418.09,3444.73,3392.31,3405.27,000,3405.27
2014-10-24,3432.71,3432.71,3410.24,3418.09,000,3418.09
2014-10-23,3424.77,3437.87,3380.93,3432.71,000,3432.71
2014-10-22,3407.35,3426.03,3394.80,3424.78,000,3424.78
2014-10-21,3351.15,3407.34,3333.30,3407.34,000,3407.34
2014-10-20,3369.59,3375.15,3336.34,3351.15,000,3351.15
2014-10-17,3308.67,3369.70,3307.32,3369.58,000,3369.58
2014-10-16,3314.64,3350.42,3245.46,3308.67,000,3308.67
2014-10-15,3403.04,3408.79,3314.63,3314.63,000,3314.63
2014-10-14,3387.01,3408.31,3356.35,3403.04,000,3403.04
2014-10-13,3380.02,3399.19,3355.93,3387.01,000,3387.01
2014-10-10,3427.70,3427.70,3371.48,3380.02,000,3380.02
2014-10-09,3454.51,3487.46,3424.92,3427.70,000,3427.70
2014-10-08,3467.07,3467.09,3442.35,3454.51,000,3454.51
2014-10-07,3503.63,3503.64,3467.07,3467.07,000,3467.07
2014-10-06,3485.96,3515.56,3485.96,3503.63,000,3503.63
2014-10-03,3442.20,3492.56,3442.20,3485.96,000,3485.96
2014-10-02,3498.95,3499.74,3442.20,3442.20,000,3442.20
2014-10-01,3533.94,3533.94,3490.72,3498.96,000,3498.96
2014-09-30,3544.91,3552.76,3522.88,3533.93,000,3533.93
2014-09-29,3545.90,3548.56,3525.97,3544.91,000,3544.91
2014-09-26,3543.59,3552.97,3529.82,3545.90,000,3545.90
2014-09-25,3576.68,3587.26,3534.37,3543.58,000,3543.58
2014-09-24,3563.14,3577.42,3550.67,3576.68,000,3576.68
2014-09-23,3613.37,3614.96,3549.14,3563.14,000,3563.14
2014-09-22,3646.05,3646.23,3610.17,3613.37,000,3613.37
2014-09-19,3632.63,3665.31,3632.63,3646.05,000,3646.05
2014-09-18,3610.73,3632.73,3606.58,3632.62,000,3632.62
2014-09-17,3616.35,3629.96,3610.73,3610.73,000,3610.73
2014-09-16,3624.15,3624.15,3594.19,3616.35,000,3616.35
2014-09-15,3627.85,3629.76,3610.22,3624.14,000,3624.14
2014-09-12,3621.17,3639.08,3621.17,3627.85,000,3627.85
2014-09-11,3636.71,3649.94,3604.92,3621.17,000,3621.17
2014-09-10,3640.38,3647.82,3623.54,3636.71,000,3636.71
2014-09-09,3642.35,3649.23,3630.13,3640.38,000,3640.38
2014-09-08,3656.63,3656.63,3612.87,3642.35,000,3642.35
2014-09-05,3669.10,3672.50,3645.33,3656.63,000,3656.63
2014-09-04,3667.38,3680.90,3664.08,3669.10,000,3669.10
2014-09-03,3646.63,3680.54,3645.99,3667.38,000,3667.38
2014-09-02,3644.57,3656.43,3637.53,3646.63,000,3646.63
2014-09-01,3639.54,3644.57,3629.95,3644.57,000,3644.57
2014-08-29,3634.23,3644.70,3620.70,3639.54,000,3639.54
2014-08-28,3649.22,3649.47,3629.75,3634.23,000,3634.23
2014-08-27,3644.50,3650.56,3641.63,3649.22,000,3649.22
2014-08-26,3619.38,3646.29,3619.38,3644.50,000,3644.50
2014-08-22,3618.89,3623.96,3604.35,3619.38,000,3619.38
2014-08-21,3606.33,3619.80,3604.82,3618.89,000,3618.89
2014-08-20,3621.34,3622.46,3598.13,3606.33,000,3606.33
2014-08-19,3600.68,3622.89,3600.46,3621.34,000,3621.34
2014-08-18,3573.18,3602.64,3573.18,3600.68,000,3600.68
2014-08-15,3571.61,3600.74,3571.09,3573.18,000,3573.18
2014-08-14,3553.64,3576.17,3546.29,3571.61,000,3571.61
2014-08-13,3540.59,3557.05,3536.36,3553.64,000,3553.64
2014-08-12,3540.36,3547.19,3531.34,3540.59,000,3540.59
2014-08-11,3503.69,3546.63,3503.67,3540.36,000,3540.36
2014-08-08,3517.05,3517.05,3481.43,3503.69,000,3503.69
2014-08-07,3534.82,3542.97,3514.44,3517.05,000,3517.05
2014-08-06,3558.90,3558.90,3510.13,3534.82,000,3534.82
2014-08-05,3557.13,3574.65,3553.65,3558.89,000,3558.89
2014-08-04,3559.02,3575.33,3553.16,3557.13,000,3557.13
2014-08-01,3585.62,3585.62,3531.65,3559.02,000,3559.02
2014-07-31,3609.42,3619.08,3578.28,3585.62,000,3585.62
2014-07-30,3626.41,3629.91,3602.19,3609.42,000,3609.42
2014-07-29,3615.11,3639.64,3615.11,3626.41,000,3626.41
2014-07-28,3619.34,3627.45,3602.35,3615.11,000,3615.11
2014-07-25,3634.44,3640.38,3614.26,3619.34,000,3619.34
2014-07-24,3623.20,3634.44,3607.78,3634.44,000,3634.44
2014-07-23,3619.19,3633.28,3610.04,3623.20,000,3623.20
2014-07-22,3584.07,3622.31,3584.07,3619.19,000,3619.19
2014-07-21,3595.97,3598.25,3577.25,3584.06,000,3584.06
2014-07-18,3591.38,3595.97,3566.36,3595.97,000,3595.97
2014-07-17,3613.55,3613.55,3585.55,3591.37,000,3591.37
2014-07-16,3575.22,3617.38,3575.22,3613.55,000,3613.55
2014-07-15,3595.75,3604.23,3574.74,3575.22,000,3575.22
2014-07-14,3566.79,3602.61,3566.79,3595.75,000,3595.75
2014-07-11,3558.93,3573.03,3554.60,3566.79,000,3566.79
2014-07-10,3583.13,3586.42,3542.52,3558.93,000,3558.93
2014-07-09,3596.05,3597.47,3570.21,3583.13,000,3583.13
2014-07-08,3642.35,3646.01,3596.05,3596.05,000,3596.05
2014-07-07,3666.23,3666.43,3639.47,3642.34,000,3642.34
2014-07-04,3665.06,3670.76,3661.45,3666.23,000,3666.23
2014-07-03,3638.14,3665.44,3638.14,3665.06,000,3665.06
2014-07-02,3630.37,3644.99,3628.04,3638.13,000,3638.13
2014-07-01,3600.19,3631.96,3600.19,3630.37,000,3630.37
2014-06-30,3604.39,3615.00,3592.96,3600.19,000,3600.19
2014-06-27,3592.91,3608.93,3592.91,3604.39,000,3604.39
2014-06-26,3585.43,3595.98,3575.80,3592.91,000,3592.91
2014-06-25,3612.53,3612.58,3575.54,3585.43,000,3585.43
2014-06-24,3623.40,3634.02,3609.07,3612.53,000,3612.53
2014-06-23,3638.35,3639.14,3617.47,3623.39,000,3623.39
2014-06-20,3626.78,3645.38,3619.62,3638.35,000,3638.35
2014-06-19,3611.59,3643.19,3611.59,3626.78,000,3626.78
2014-06-18,3604.81,3621.11,3604.81,3611.59,000,3611.59
2014-06-17,3604.42,3614.32,3591.65,3604.81,000,3604.81
2014-06-16,3618.54,3619.03,3600.42,3604.42,000,3604.42
2014-06-13,3658.57,3658.57,3608.59,3618.54,000,3618.54
2014-06-12,3655.76,3663.73,3650.08,3658.57,000,3658.57
2014-06-11,3675.21,3675.25,3646.93,3655.75,000,3655.75
2014-06-10,3676.19,3676.31,3657.42,3675.21,000,3675.21
2014-06-09,3669.04,3679.41,3668.82,3676.19,000,3676.19
2014-06-06,3641.01,3669.45,3641.01,3669.04,000,3669.04
2014-06-05,3643.13,3656.15,3631.03,3641.00,000,3641.00
2014-06-04,3650.35,3652.85,3633.98,3643.13,000,3643.13
2014-06-03,3666.64,3667.65,3641.89,3650.34,000,3650.34
2014-06-02,3655.01,3671.39,3655.01,3666.64,000,3666.64
2014-05-30,3664.61,3668.25,3648.66,3655.01,000,3655.01
2014-05-29,3654.72,3671.41,3653.35,3664.62,000,3664.62
2014-05-28,3648.68,3655.82,3644.53,3654.71,000,3654.71
2014-05-27,3630.98,3654.24,3630.98,3648.67,000,3648.67
2014-05-23,3631.41,3634.16,3619.10,3630.98,000,3630.98
2014-05-22,3628.99,3642.60,3625.60,3631.41,000,3631.41
2014-05-21,3614.99,3628.99,3606.21,3628.99,000,3628.99
2014-05-20,3632.12,3637.72,3610.24,3614.99,000,3614.99
2014-05-19,3637.91,3640.58,3614.50,3632.11,000,3632.11
2014-05-16,3639.54,3645.51,3616.94,3637.91,000,3637.91
2014-05-15,3669.17,3676.86,3630.63,3639.54,000,3639.54
2014-05-14,3668.81,3671.16,3659.94,3669.17,000,3669.17
2014-05-13,3657.18,3673.03,3656.63,3668.81,000,3668.81
2014-05-12,3637.30,3657.18,3637.30,3657.18,000,3657.18
2014-05-09,3651.33,3651.33,3632.75,3637.30,000,3637.30
2014-05-08,3629.13,3651.33,3629.13,3651.33,000,3651.33
2014-05-07,3632.24,3632.24,3615.96,3629.13,000,3629.13
2014-05-06,3642.52,3646.71,3623.97,3632.25,000,3632.25
2014-05-02,3633.61,3649.07,3630.24,3642.52,000,3642.52
2014-05-01,3619.83,3635.64,3617.02,3633.61,000,3633.61
2014-04-30,3618.10,3627.01,3608.76,3619.83,000,3619.83
2014-04-29,3584.85,3618.10,3584.83,3618.10,000,3618.10
2014-04-28,3580.60,3597.12,3580.22,3584.85,000,3584.85
2014-04-25,3592.13,3592.55,3567.13,3580.59,000,3580.59
2014-04-24,3579.58,3604.44,3574.58,3592.13,000,3592.13
2014-04-23,3585.59,3590.95,3573.26,3579.58,000,3579.58
2014-04-22,3554.50,3597.11,3554.50,3585.59,000,3585.59
2014-04-17,3530.41,3555.34,3522.03,3554.50,000,3554.50
2014-04-16,3505.73,3533.92,3505.73,3530.41,000,3530.41
2014-04-15,3528.53,3533.91,3503.05,3505.73,000,3505.73
2014-04-14,3525.89,3528.53,3490.98,3528.53,000,3528.53
2014-04-11,3570.25,3570.25,3513.96,3525.89,000,3525.89
2014-04-10,3567.89,3595.98,3561.78,3570.25,000,3570.25
2014-04-09,3543.17,3577.01,3543.14,3567.89,000,3567.89
2014-04-08,3566.71,3567.98,3523.54,3543.17,000,3543.17
2014-04-07,3604.88,3604.88,3562.98,3566.71,000,3566.71
2014-04-04,3581.27,3610.41,3581.27,3604.88,000,3604.88
2014-04-03,3587.86,3597.30,3577.09,3581.26,000,3581.26
2014-04-02,3584.47,3595.63,3577.95,3587.86,000,3587.86
2014-04-01,3555.60,3586.60,3555.60,3584.47,000,3584.47
2014-03-31,3559.44,3581.70,3547.72,3555.59,000,3555.59
2014-03-28,3548.10,3568.52,3546.30,3559.44,000,3559.44
2014-03-27,3557.27,3557.27,3535.40,3548.10,000,3548.10
2014-03-26,3554.16,3575.36,3554.14,3557.27,000,3557.27
2014-03-25,3512.44,3554.16,3512.44,3554.16,000,3554.16
2014-03-24,3533.20,3538.10,3505.10,3512.44,000,3512.44
2014-03-21,3529.57,3543.62,3526.94,3533.20,000,3533.20
2014-03-20,3547.54,3547.54,3505.70,3529.57,000,3529.57
2014-03-19,3562.10,3564.77,3544.11,3547.54,000,3547.54
2014-03-18,3544.18,3572.48,3527.55,3562.11,000,3562.11
2014-03-17,3520.25,3555.14,3520.22,3544.18,000,3544.18
2014-03-14,3534.25,3534.25,3504.71,3520.25,000,3520.25
2014-03-13,3569.10,3574.74,3534.23,3534.24,000,3534.24
2014-03-12,3603.54,3603.55,3559.39,3569.10,000,3569.10
2014-03-11,3604.19,3618.48,3590.69,3603.54,000,3603.54
2014-03-10,3618.34,3640.67,3597.13,3604.19,000,3604.19
2014-03-07,3655.65,3661.57,3615.90,3618.34,000,3618.34
2014-03-06,3647.48,3663.70,3646.51,3655.65,000,3655.65
2014-03-05,3671.87,3671.92,3646.02,3647.48,000,3647.48
2014-03-04,3608.55,3672.88,3608.55,3671.88,000,3671.88
2014-03-03,3666.67,3666.67,3591.12,3608.55,000,3608.55
2014-02-28,3659.46,3676.69,3650.00,3666.66,000,3666.66
2014-02-27,3652.98,3664.05,3621.36,3659.46,000,3659.46
2014-02-26,3669.33,3671.26,3646.85,3652.98,000,3652.98
2014-02-25,3685.07,3685.35,3648.79,3669.33,000,3669.33
2014-02-24,3670.10,3685.07,3648.66,3685.07,000,3685.07
2014-02-21,3655.58,3677.70,3655.58,3670.10,000,3670.10
2014-02-20,3647.51,3655.58,3613.30,3655.58,000,3655.58
2014-02-19,3647.13,3652.82,3627.10,3647.51,000,3647.51
2014-02-18,3616.60,3649.94,3606.84,3647.13,000,3647.13
2014-02-17,3580.44,3620.78,3579.56,3616.60,000,3616.60
